,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
546,2020-06-02,Iran,153822.0,154445.0,7860.0,7878.0,-623.0,-18.0
547,2020-06-02,Turkey,164878.0,164769.0,4564.0,4563.0,109.0,1.0
548,2020-06-02,Brazil,547482.0,526447.0,30341.0,29937.0,21035.0,404.0
549,2020-06-03,France,152390.0,151325.0,28871.0,28940.0,1065.0,-69.0
550,2020-06-03,China,84221.0,84159.0,4653.0,4645.0,62.0,8.0
551,2020-06-03,Italy,233675.0,233515.0,33569.0,33530.0,160.0,39.0
552,2020-06-02,Spain,239890.0,239932.0,28126.0,27940.0,-42.0,186.0
553,2020-06-03,United States,1833479.0,1831821.0,105924.0,106181.0,1658.0,-257.0
554,2020-06-03,World,6372193.0,6348900.0,380684.0,380810.0,23293.0,-126.0
555,2020-06-03,United Kingdom,278620.0,277985.0,39226.0,39369.0,635.0,-143.0
556,2020-06-03,Germany,182438.0,182370.0,8531.0,8551.0,68.0,-20.0
557,2020-06-03,Iran,156970.0,157562.0,7946.0,7942.0,-592.0,4.0
558,2020-06-03,Turkey,165574.0,165555.0,4586.0,4585.0,19.0,1.0
559,2020-06-03,Brazil,548743.0,555383.0,30505.0,31199.0,-6640.0,-694.0
560,2020-06-04,France,151487.0,151677.0,28995.0,29021.0,-190.0,-26.0
561,2020-06-04,China,84221.0,84160.0,4660.0,4638.0,61.0,22.0
562,2020-06-04,Italy,233829.0,233836.0,33610.0,33601.0,-7.0,9.0
563,2020-06-03,Spain,240194.0,240326.0,28512.0,27940.0,-132.0,572.0
564,2020-06-04,United States,1855181.0,1851520.0,107106.0,107175.0,3661.0,-69.0
565,2020-06-04,World,6478838.0,6475644.0,385101.0,386544.0,3194.0,-1443.0
566,2020-06-04,United Kingdom,279943.0,279856.0,39923.0,39728.0,87.0,195.0
567,2020-06-04,Germany,182674.0,182764.0,8563.0,8581.0,-90.0,-18.0
568,2020-06-04,Iran,160452.0,160696.0,8025.0,8012.0,-244.0,13.0
569,2020-06-04,Turkey,166350.0,166422.0,4606.0,4609.0,-72.0,-3.0
570,2020-06-04,Brazil,581560.0,584016.0,32135.0,32548.0,-2456.0,-413.0
571,2020-06-05,France,151183.0,152444.0,29124.0,29065.0,-1261.0,59.0
572,2020-06-05,China,84219.0,84171.0,4652.0,4638.0,48.0,14.0
573,2020-06-05,Italy,234280.0,234013.0,33676.0,33689.0,267.0,-13.0
574,2020-06-04,Spain,240668.0,240660.0,27965.0,27940.0,8.0,25.0
575,2020-06-05,United States,1874436.0,1872660.0,108330.0,108211.0,1776.0,119.0
576,2020-06-05,World,6599609.0,6603329.0,391358.0,391732.0,-3720.0,-374.0
577,2020-06-05,United Kingdom,281888.0,281661.0,40086.0,39904.0,227.0,182.0
578,2020-06-05,Germany,183184.0,183271.0,8608.0,8613.0,-87.0,-5.0
579,2020-06-05,Iran,163709.0,164270.0,8081.0,8071.0,-561.0,10.0
580,2020-06-05,Turkey,167181.0,167410.0,4629.0,4630.0,-229.0,-1.0
581,2020-06-05,Brazil,614531.0,614941.0,33913.0,34021.0,-410.0,-108.0
582,2020-06-06,France,152885.0,153055.0,29141.0,29111.0,-170.0,30.0
583,2020-06-06,China,84232.0,84177.0,4652.0,4638.0,55.0,14.0
584,2020-06-06,Italy,234461.0,234531.0,33779.0,33774.0,-70.0,5.0
585,2020-06-05,Spain,241095.0,240978.0,27964.0,27134.0,117.0,830.0
586,2020-06-06,United States,1894840.0,1897838.0,109333.0,109143.0,-2998.0,190.0
587,2020-06-06,World,6741358.0,6706002.0,397712.0,394713.0,35356.0,2999.0
588,2020-06-06,United Kingdom,283882.0,283311.0,40289.0,40261.0,571.0,28.0
589,2020-06-06,Germany,183738.0,183678.0,8641.0,8646.0,60.0,-5.0
590,2020-06-06,Iran,167292.0,167156.0,8146.0,8134.0,136.0,12.0
591,2020-06-06,Turkey,168245.0,168340.0,4652.0,4648.0,-95.0,4.0
592,2020-06-06,Brazil,646786.0,614941.0,35476.0,34021.0,31845.0,1455.0
593,2020-06-07,France,153788.0,153634.0,29161.0,29142.0,154.0,19.0
594,2020-06-07,China,84239.0,84186.0,4652.0,4638.0,53.0,14.0
595,2020-06-07,Italy,234843.0,234801.0,33880.0,33846.0,42.0,34.0
596,2020-06-06,Spain,241359.0,241310.0,27151.0,27135.0,49.0,16.0
597,2020-06-07,United States,1921239.0,1920061.0,110299.0,109802.0,1178.0,497.0
598,2020-06-07,World,6851616.0,6835723.0,400259.0,398636.0,15893.0,1623.0
599,2020-06-07,United Kingdom,285469.0,284868.0,40493.0,40465.0,601.0,28.0
600,2020-06-07,Germany,184245.0,183979.0,8676.0,8668.0,266.0,8.0
601,2020-06-07,Iran,170573.0,169425.0,8200.0,8209.0,1148.0,-9.0
602,2020-06-07,Turkey,169285.0,169218.0,4667.0,4669.0,67.0,-2.0
603,2020-06-07,Brazil,645101.0,645771.0,35392.0,35026.0,-670.0,366.0
